id,item_id,dept_id,cat_id,state_id,d,value_sales,date,wm_yr_wk,weekday,wday,month,year,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,sell_price
HOUSEHOLD_1_146_CA_1_validation,HOUSEHOLD_1_146,HOUSEHOLD_1,HOUSEHOLD,CA,d_10,2,2011-02-07,11102,Monday,3,2,2011,"","","","",1,5.89
HOUSEHOLD_1_182_CA_1_validation,HOUSEHOLD_1_182,HOUSEHOLD_1,HOUSEHOLD,CA,d_10,0,2011-02-07,11102,Monday,3,2,2011,"","","","",1,4.47
HOUSEHOLD_1_192_CA_1_validation,HOUSEHOLD_1_192,HOUSEHOLD_1,HOUSEHOLD,CA,d_10,0,2011-02-07,11102,Monday,3,2,2011,"","","","",1,3.62
HOUSEHOLD_1_492_CA_1_validation,HOUSEHOLD_1_492,HOUSEHOLD_1,HOUSEHOLD,CA,d_10,0,2011-02-07,11102,Monday,3,2,2011,"","","","",1,3.58
HOUSEHOLD_2_074_CA_1_validation,HOUSEHOLD_2_074,HOUSEHOLD_2,HOUSEHOLD,CA,d_10,2,2011-02-07,11102,Monday,3,2,2011,"","","","",1,0.97
FOODS_1_019_CA_1_validation,FOODS_1_019,FOODS_1,FOODS,CA,d_10,5,2011-02-07,11102,Monday,3,2,2011,"","","","",1,0.97
FOODS_3_239_CA_1_validation,FOODS_3_239,FOODS_3,FOODS,CA,d_10,1,2011-02-07,11102,Monday,3,2,2011,"","","","",1,1.68
FOODS_3_485_CA_1_validation,FOODS_3_485,FOODS_3,FOODS,CA,d_10,4,2011-02-07,11102,Monday,3,2,2011,"","","","",1,3.48
FOODS_3_679_CA_1_validation,FOODS_3_679,FOODS_3,FOODS,CA,d_10,0,2011-02-07,11102,Monday,3,2,2011,"","","","",1,3.78
FOODS_3_744_CA_1_validation,FOODS_3_744,FOODS_3,FOODS,CA,d_10,22,2011-02-07,11102,Monday,3,2,2011,"","","","",1,1.98
HOBBIES_1_413_CA_1_validation,HOBBIES_1_413,HOBBIES_1,HOBBIES,CA,d_11,0,2011-02-08,11102,Tuesday,4,2,2011,"","","","",1,4.66
HOUSEHOLD_1_146_CA_1_validation,HOUSEHOLD_1_146,HOUSEHOLD_1,HOUSEHOLD,CA,d_11,1,2011-02-08,11102,Tuesday,4,2,2011,"","","","",1,5.89
HOUSEHOLD_1_182_CA_1_validation,HOUSEHOLD_1_182,HOUSEHOLD_1,HOUSEHOLD,CA,d_11,0,2011-02-08,11102,Tuesday,4,2,2011,"","","","",1,4.47
HOUSEHOLD_1_192_CA_1_validation,HOUSEHOLD_1_192,HOUSEHOLD_1,HOUSEHOLD,CA,d_11,0,2011-02-08,11102,Tuesday,4,2,2011,"","","","",1,3.62
HOUSEHOLD_1_492_CA_1_validation,HOUSEHOLD_1_492,HOUSEHOLD_1,HOUSEHOLD,CA,d_11,1,2011-02-08,11102,Tuesday,4,2,2011,"","","","",1,3.58
HOUSEHOLD_2_074_CA_1_validation,HOUSEHOLD_2_074,HOUSEHOLD_2,HOUSEHOLD,CA,d_11,0,2011-02-08,11102,Tuesday,4,2,2011,"","","","",1,0.97
FOODS_1_019_CA_1_validation,FOODS_1_019,FOODS_1,FOODS,CA,d_11,5,2011-02-08,11102,Tuesday,4,2,2011,"","","","",1,0.97
FOODS_3_239_CA_1_validation,FOODS_3_239,FOODS_3,FOODS,CA,d_11,0,2011-02-08,11102,Tuesday,4,2,2011,"","","","",1,1.68
FOODS_3_485_CA_1_validation,FOODS_3_485,FOODS_3,FOODS,CA,d_11,3,2011-02-08,11102,Tuesday,4,2,2011,"","","","",1,3.48
FOODS_3_679_CA_1_validation,FOODS_3_679,FOODS_3,FOODS,CA,d_11,2,2011-02-08,11102,Tuesday,4,2,2011,"","","","",1,3.78
FOODS_3_744_CA_1_validation,FOODS_3_744,FOODS_3,FOODS,CA,d_11,9,2011-02-08,11102,Tuesday,4,2,2011,"","","","",1,1.98
HOBBIES_1_413_CA_1_validation,HOBBIES_1_413,HOBBIES_1,HOBBIES,CA,d_12,1,2011-02-09,11102,Wednesday,5,2,2011,"","","","",1,4.66
HOUSEHOLD_1_146_CA_1_validation,HOUSEHOLD_1_146,HOUSEHOLD_1,HOUSEHOLD,CA,d_12,1,2011-02-09,11102,Wednesday,5,2,2011,"","","","",1,5.89
HOUSEHOLD_1_182_CA_1_validation,HOUSEHOLD_1_182,HOUSEHOLD_1,HOUSEHOLD,CA,d_12,0,2011-02-09,11102,Wednesday,5,2,2011,"","","","",1,4.47
HOUSEHOLD_1_192_CA_1_validation,HOUSEHOLD_1_192,HOUSEHOLD_1,HOUSEHOLD,CA,d_12,0,2011-02-09,11102,Wednesday,5,2,2011,"","","","",1,3.62
HOUSEHOLD_1_492_CA_1_validation,HOUSEHOLD_1_492,HOUSEHOLD_1,HOUSEHOLD,CA,d_12,1,2011-02-09,11102,Wednesday,5,2,2011,"","","","",1,3.58
HOUSEHOLD_2_074_CA_1_validation,HOUSEHOLD_2_074,HOUSEHOLD_2,HOUSEHOLD,CA,d_12,0,2011-02-09,11102,Wednesday,5,2,2011,"","","","",1,0.97
FOODS_1_019_CA_1_validation,FOODS_1_019,FOODS_1,FOODS,CA,d_12,1,2011-02-09,11102,Wednesday,5,2,2011,"","","","",1,0.97
FOODS_3_239_CA_1_validation,FOODS_3_239,FOODS_3,FOODS,CA,d_12,2,2011-02-09,11102,Wednesday,5,2,2011,"","","","",1,1.68
FOODS_3_485_CA_1_validation,FOODS_3_485,FOODS_3,FOODS,CA,d_12,3,2011-02-09,11102,Wednesday,5,2,2011,"","","","",1,3.48
FOODS_3_679_CA_1_validation,FOODS_3_679,FOODS_3,FOODS,CA,d_12,3,2011-02-09,11102,Wednesday,5,2,2011,"","","","",1,3.78
FOODS_3_744_CA_1_validation,FOODS_3_744,FOODS_3,FOODS,CA,d_12,3,2011-02-09,11102,Wednesday,5,2,2011,"","","","",1,1.98
HOBBIES_1_413_CA_1_validation,HOBBIES_1_413,HOBBIES_1,HOBBIES,CA,d_13,0,2011-02-10,11102,Thursday,6,2,2011,"","","","",1,4.66
HOUSEHOLD_1_146_CA_1_validation,HOUSEHOLD_1_146,HOUSEHOLD_1,HOUSEHOLD,CA,d_13,0,2011-02-10,11102,Thursday,6,2,2011,"","","","",1,5.89
HOUSEHOLD_1_182_CA_1_validation,HOUSEHOLD_1_182,HOUSEHOLD_1,HOUSEHOLD,CA,d_13,0,2011-02-10,11102,Thursday,6,2,2011,"","","","",1,4.47
HOUSEHOLD_1_192_CA_1_validation,HOUSEHOLD_1_192,HOUSEHOLD_1,HOUSEHOLD,CA,d_13,0,2011-02-10,11102,Thursday,6,2,2011,"","","","",1,3.62
HOUSEHOLD_1_492_CA_1_validation,HOUSEHOLD_1_492,HOUSEHOLD_1,HOUSEHOLD,CA,d_13,1,2011-02-10,11102,Thursday,6,2,2011,"","","","",1,3.58
HOUSEHOLD_2_074_CA_1_validation,HOUSEHOLD_2_074,HOUSEHOLD_2,HOUSEHOLD,CA,d_13,0,2011-02-10,11102,Thursday,6,2,2011,"","","","",1,0.97
FOODS_1_019_CA_1_validation,FOODS_1_019,FOODS_1,FOODS,CA,d_13,15,2011-02-10,11102,Thursday,6,2,2011,"","","","",1,0.97
FOODS_3_239_CA_1_validation,FOODS_3_239,FOODS_3,FOODS,CA,d_13,1,2011-02-10,11102,Thursday,6,2,2011,"","","","",1,1.68
FOODS_3_485_CA_1_validation,FOODS_3_485,FOODS_3,FOODS,CA,d_13,3,2011-02-10,11102,Thursday,6,2,2011,"","","","",1,3.48
FOODS_3_679_CA_1_validation,FOODS_3_679,FOODS_3,FOODS,CA,d_13,2,2011-02-10,11102,Thursday,6,2,2011,"","","","",1,3.78
FOODS_3_744_CA_1_validation,FOODS_3_744,FOODS_3,FOODS,CA,d_13,5,2011-02-10,11102,Thursday,6,2,2011,"","","","",1,1.98
HOBBIES_1_413_CA_1_validation,HOBBIES_1_413,HOBBIES_1,HOBBIES,CA,d_14,1,2011-02-11,11102,Friday,7,2,2011,"","","","",0,4.66
HOUSEHOLD_1_146_CA_1_validation,HOUSEHOLD_1_146,HOUSEHOLD_1,HOUSEHOLD,CA,d_14,2,2011-02-11,11102,Friday,7,2,2011,"","","","",0,5.89
HOUSEHOLD_1_182_CA_1_validation,HOUSEHOLD_1_182,HOUSEHOLD_1,HOUSEHOLD,CA,d_14,0,2011-02-11,11102,Friday,7,2,2011,"","","","",0,4.47
HOUSEHOLD_1_192_CA_1_validation,HOUSEHOLD_1_192,HOUSEHOLD_1,HOUSEHOLD,CA,d_14,0,2011-02-11,11102,Friday,7,2,2011,"","","","",0,3.62
HOUSEHOLD_1_492_CA_1_validation,HOUSEHOLD_1_492,HOUSEHOLD_1,HOUSEHOLD,CA,d_14,1,2011-02-11,11102,Friday,7,2,2011,"","","","",0,3.58
HOUSEHOLD_2_074_CA_1_validation,HOUSEHOLD_2_074,HOUSEHOLD_2,HOUSEHOLD,CA,d_14,1,2011-02-11,11102,Friday,7,2,2011,"","","","",0,0.97
FOODS_1_019_CA_1_validation,FOODS_1_019,FOODS_1,FOODS,CA,d_14,4,2011-02-11,11102,Friday,7,2,2011,"","","","",0,0.97
FOODS_3_239_CA_1_validation,FOODS_3_239,FOODS_3,FOODS,CA,d_14,2,2011-02-11,11102,Friday,7,2,2011,"","","","",0,1.68
FOODS_3_485_CA_1_validation,FOODS_3_485,FOODS_3,FOODS,CA,d_14,1,2011-02-11,11102,Friday,7,2,2011,"","","","",0,3.48
FOODS_3_679_CA_1_validation,FOODS_3_679,FOODS_3,FOODS,CA,d_14,2,2011-02-11,11102,Friday,7,2,2011,"","","","",0,3.78
FOODS_3_744_CA_1_validation,FOODS_3_744,FOODS_3,FOODS,CA,d_14,18,2011-02-11,11102,Friday,7,2,2011,"","","","",0,1.98
HOBBIES_1_413_CA_1_validation,HOBBIES_1_413,HOBBIES_1,HOBBIES,CA,d_15,1,2011-02-12,11103,Saturday,1,2,2011,"","","","",0,4.66
HOUSEHOLD_1_146_CA_1_validation,HOUSEHOLD_1_146,HOUSEHOLD_1,HOUSEHOLD,CA,d_15,2,2011-02-12,11103,Saturday,1,2,2011,"","","","",0,5.89
HOUSEHOLD_1_182_CA_1_validation,HOUSEHOLD_1_182,HOUSEHOLD_1,HOUSEHOLD,CA,d_15,1,2011-02-12,11103,Saturday,1,2,2011,"","","","",0,4.47
HOUSEHOLD_1_192_CA_1_validation,HOUSEHOLD_1_192,HOUSEHOLD_1,HOUSEHOLD,CA,d_15,0,2011-02-12,11103,Saturday,1,2,2011,"","","","",0,3.62
HOUSEHOLD_1_492_CA_1_validation,HOUSEHOLD_1_492,HOUSEHOLD_1,HOUSEHOLD,CA,d_15,1,2011-02-12,11103,Saturday,1,2,2011,"","","","",0,3.58
HOUSEHOLD_2_074_CA_1_validation,HOUSEHOLD_2_074,HOUSEHOLD_2,HOUSEHOLD,CA,d_15,3,2011-02-12,11103,Saturday,1,2,2011,"","","","",0,0.97
FOODS_1_019_CA_1_validation,FOODS_1_019,FOODS_1,FOODS,CA,d_15,4,2011-02-12,11103,Saturday,1,2,2011,"","","","",0,0.97
FOODS_3_239_CA_1_validation,FOODS_3_239,FOODS_3,FOODS,CA,d_15,3,2011-02-12,11103,Saturday,1,2,2011,"","","","",0,1.68
FOODS_3_485_CA_1_validation,FOODS_3_485,FOODS_3,FOODS,CA,d_15,5,2011-02-12,11103,Saturday,1,2,2011,"","","","",0,3.48
FOODS_3_679_CA_1_validation,FOODS_3_679,FOODS_3,FOODS,CA,d_15,6,2011-02-12,11103,Saturday,1,2,2011,"","","","",0,3.78
FOODS_3_744_CA_1_validation,FOODS_3_744,FOODS_3,FOODS,CA,d_15,11,2011-02-12,11103,Saturday,1,2,2011,"","","","",0,1.98
HOBBIES_1_413_CA_1_validation,HOBBIES_1_413,HOBBIES_1,HOBBIES,CA,d_16,2,2011-02-13,11103,Sunday,2,2,2011,"","","","",0,4.66
HOUSEHOLD_1_146_CA_1_validation,HOUSEHOLD_1_146,HOUSEHOLD_1,HOUSEHOLD,CA,d_16,1,2011-02-13,11103,Sunday,2,2,2011,"","","","",0,5.89
